name_of_site,url,org_code
سازمان زمین شناسی و اکتشافات معدنی کشور حقیقی,https://gsi.ir/sso,سازمان زمین‌شناسی و اکتشافات معدنی کشور
سازمان نظام مهندسی ساختمان حقوقی,https://ims.irceo.ir/api/Authentication/ICT/SSO/LRedirect,سازمان نظام مهندسی ساختمان
سازمان نظام مهندسی ساختمان حقیقی,https://ims.irceo.ir/api/Authentication/ICT/SSO/PRedirect,سازمان نظام مهندسی ساختمان
سازمان نقشه برداری کشور حقوقی,https://eshop.ncc.gov.ir/redirect-check-login-legal,سازمان نقشه‌برداری کشور
سازمان نقشه برداری کشور حقیقی,https://eshop.ncc.gov.ir/redirect-check-login-true-person,سازمان نقشه‌برداری کشور
سازمان هواشناسی کشور,https://data.irimo.ir/mygovsso.aspx,سازمان هواشناسی کشور
شهرداری باغستان,http://137.baghestan.ir/,شهرداری‌ها (سامانه ۱۳۷ - وزارت کشور)
شهرداری خمینی‌شهر,https://137.khomeinishahr.ir,شهرداری‌ها (سامانه ۱۳۷ - وزارت کشور)
شهرداری خوی,https://137.khoy.ir/,شهرداری‌ها (سامانه ۱۳۷ - وزارت کشور)
شهرداری دستجرد,https://dastjerd.137service.ir/,شهرداری‌ها (سامانه ۱۳۷ - وزارت کشور)
شهرداری ساوه,https://137.saveh.ir/,شهرداری‌ها (سامانه ۱۳۷ - وزارت کشور)
شهرداری سیرجان,https://137.sirjan.ir/,شهرداری‌ها (سامانه ۱۳۷ - وزارت کشور)
شهرداری ایلام,http://137.ilam.ir/Master.aspx,شهرداری‌ها (سامانه ۱۳۷ - وزارت کشور)
شهرداری بروجن,https://137.borujen.ir/,شهرداری‌ها (سامانه ۱۳۷ - وزارت کشور)
شهرداری دلیجان,https://137.delijan.ir/,شهرداری‌ها (سامانه ۱۳۷ - وزارت کشور)
شهرداری رامسر,https://137.ramsar.ir/,شهرداری‌ها (سامانه ۱۳۷ - وزارت کشور)
شهرداری سنندج,http://137.sanandaj.ir/Master.aspx,شهرداری‌ها (سامانه ۱۳۷ - وزارت کشور)
شهرداری ورامین,http://portal.evaramin.ir:2442/Master.aspx,شهرداری ورامین
شهرداری کهک,https://137.kahak.ir/,شهرداری‌ها (سامانه ۱۳۷ - وزارت کشور)
سازمان فضایی ایران حقوقی,https://isa.ir/fa/page/54466.html?utype=2,سازمان فضایی ایران
سازمان فضایی ایران حقیقی,https://isa.ir/fa/page/54466.html?utype=1,سازمان فضایی ایران
سازمان بیمه سلامت ایران,https://Noskheh-d.ihio.gov.ir,سازمان بیمه سلامت ایران
سازمان بیمه سلامت ایران,https://Noskheh-c.ihio.gov.ir,سازمان بیمه سلامت ایران
سازمان اداری و استخدامی کشور,https://satam.aro.gov.ir/ssoito/login,سازمان اداری و استخدامی کشور
سازمان بیمه سلامت ایران,https://fdp.ihio.gov.ir/ssoitoauth.aspx,سازمان بیمه سلامت ایران
سامانه انتشار و دسترسی آزاد به اطلاعات,https://iranfoia.ir/sso-gov,دفتر هیئت دولت (دسترسی آزاد به اطلاعات)
جهاد دانشگاهی,https://isba.ir/Default/redirecturl,جهاد دانشگاهی
بنیاد شهید و امور ایثارگران,https://login.isaar.ir/sso/myiran/login,بنیاد شهید و امور ایثارگران
سامانه ایران من,https://myiran.gov.ir/oidc/authenticate/,وزارت کشور (سامانه ایران من)
جهاد دانشگاهی,https://exam.jde.ir/Account/loginfromsso,جهاد دانشگاهی
جهاد دانشگاهی,https://jdrouyesh.ir/rooyesh/loginfromsso,جهاد دانشگاهی
مرکز تحقیقات حلال ایران,https://ems.halal.ac.ir/ssologin.pc,مرکز ملی تحقیقات حلال ایران
بانک کشاورزی,https://ib.bki.ir/pid184.lmx,بانک کشاورزی
سازمان بهره برداران کشاورزی کشور حقوقی,https://sso.sabak.org/Account/RegisterAndLoginLegalUser,وزارت جهاد کشاورزی (سامانه بهره‌برداران کشاورزی)
سازمان بهره برداران کشاورزی کشور حقیقی,https://sso.sabak.org/Account/RegisterAndLoginRealUser,وزارت جهاد کشاورزی (سامانه بهره‌برداران کشاورزی)
سازمان بهینه سازی مصرف سوخت,https://behinyab.ir/auth/sso/gov/real,سازمان بهینه‌سازی مصرف سوخت کشور
سازمان بهینه سازی مصرف سوخت حقوقی,https://behinyab.ir/auth/sso/gov/legal,سازمان بهینه‌سازی مصرف سوخت کشور
شرکت سهامی بیمه ایران,https://sib.iraninsurance.ir/gov_auth,شرکت سهامی بیمه ایران
مرکز تحقیقات حلال ایران,https://jh-per.halal.ac.ir/contacts,مرکز ملی تحقیقات حلال ایران
مرکز تحقیقات حلال ایران,https://research.halal.ac.ir/sso/mygov/callback,مرکز ملی تحقیقات حلال ایران
سامانه پنجره واحد زمین,https://zamin.gov.ir/,وزارت راه و شهرسازی (سامانه پنجره واحد زمین)
سازمان تدارکات الکترونیکی دولت (ستاد ایران),https://sso2.setadiran.ir/portal/gov/login,سامانه تدارکات الکترونیکی دولت (ستاد ایران)
وزارت امور اقتصادی و دارایی,https://tsh2.mefa.ir/loginsso,وزارت امور اقتصادی و دارایی
سازمان امور اراضی کشور,https://laoi.ir//page-theme140103/fa/0/descList-contact/225-G-1,سازمان امور اراضی کشور
پژوهشگاه علوم و فناوری اطلاعات ایران (ایرانداک),https://sabt.irandoc.ac.ir/,پژوهشگاه علوم و فناوری اطلاعات ایران (ایرانداک)
مرکز ملی رقابت,https://www.nicc.gov.ir/index.php,مرکز ملی رقابت
وزارت تعاون کار و رفاه اجتماعی حقوقی,http://eatba.mcls.gov.ir/mygov/legal,وزارت تعاون، کار و رفاه اجتماعی
وزارت تعاون کار و رفاه اجتماعی حقیقی,http://eatba.mcls.gov.ir/mygov/real,وزارت تعاون، کار و رفاه اجتماعی
سازمان امور دانشجویان,https://portal.saorg.ir/ssoredirect,سازمان امور دانشجویان
سازمان توسعه تجارت ایران,https://sso.ntsw.ir/ntsw,سازمان توسعه تجارت ایران
وزارت تعاون کار و رفاه اجتماعی حقوقی,https://tek.mcls.gov.ir/CompanyLogin,وزارت تعاون، کار و رفاه اجتماعی
وزارت تعاون کار و رفاه اجتماعی حقیقی,https://tek.mcls.gov.ir/UserLogin,وزارت تعاون، کار و رفاه اجتماعی
سازمان برنامه و بودجه,https://sajat.mporg.ir/Profiling/SSORedirectUrl1,سازمان برنامه و بودجه کشور
سازمان تامین اجتماعی,https://refahi.ir/api//login,سازمان تامین اجتماعی
وزارت تعاون کار و رفاه اجتماعی حقوقی,https://prkar.mcls.gov.ir/sso/org/redirecturl,وزارت تعاون، کار و رفاه اجتماعی
وزارت تعاون کار و رفاه اجتماعی حقیقی,https://prkar.mcls.gov.ir/sso/person/redirecturl,وزارت تعاون، کار و رفاه اجتماعی
سازمان حج و زیارت,https://kargozaran.haj.ir/Security/Login.aspx,سازمان حج و زیارت
مرکز آموزش مدیریت دولتی,https://ltms.smtc.ac.ir/auth/sso-government/verify,مرکز آموزش مدیریت دولتی
وزارت تعاون کار و رفاه اجتماعی,https://taavoni.mcls.gov.ir/sso-callback.php,وزارت تعاون، کار و رفاه اجتماعی
وزارت تعاون کار و رفاه اجتماعی,https://hemayat.mcls.gov.ir/loginsso,وزارت تعاون، کار و رفاه اجتماعی
شرکت ارتباطات زیرساخت حقوقی,https://sso.tic.ir/Account/Legal,شرکت ارتباطات زیرساخت
شرکت ارتباطات زیرساخت حقیقی,https://sso.tic.ir/Account/Individual,شرکت ارتباطات زیرساخت
شرکت خدمات هوایی و منطقه ویژه اقتصادی پیام حقوقی,https://pasc.ir/account/callback,شرکت خدمات هوایی و منطقه ویژه اقتصادی پیام
شرکت خدمات هوایی و منطقه ویژه اقتصادی پیام حقیقی,https://pasc.ir/account/callback,شرکت خدمات هوایی و منطقه ویژه اقتصادی پیام
شهرداری تبریز,https://citizen.tabriz.ir/moi,شهرداری تبریز
شهرداری یزد,https://sso.yazd.ir/api/auth/gov/validate,شهرداری یزد
گمرک جمهوری اسلامی ایران,https://help.irica.ir/oic/login,گمرک جمهوری اسلامی ایران
شهرداری رودهن,https://khedmat.rudehen.ir/SSORedirecturl.aspx,شهرداری رودهن
سازمان بیمه سلامت ایران,https://eservices.ihio.gov.ir/ecp/,سازمان بیمه سلامت ایران
وزارت دادگستری,https://moj.gov.ir/fa/form/12/,وزارت دادگستری
دهیاری استان یزد,https://dehyari.ostanyazd.ir/dehvand/,شهرداری یزد
